ean,name,brand,category,eu_countries,flag_nc,flag_cf,flag_fragrance_free,nc_basis,cf_basis,fragrance_basis,source_url,notes
3517360008685,Précieux Argan Eau micellaire anti-âge,Léa Nature,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3517360008685/precieux-argan-eau-micellaire-anti-age-lea-nature,
3478821003680,Précieux argan Huile de bain et massage,Léa Nature,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3478821003680/precieux-argan-huile-de-bain-et-massage-lea-nature,
3182611233019,Savon de Marseille cuit au chaudron Olive,Maitre savon de Marseille,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3182611233019/savon-de-marseille-cuit-au-chaudron-olive-maitre-savon-de-marseille,
8591113028446,Original Home Spa Beer Cosmetics,Manufaktura,face/skincare,CZ,no,yes,no,,leaping-bunny,,https://world.openbeautyfacts.org/product/8591113028446/original-home-spa-beer-cosmetics-manufaktura,OBF-Label crowd-sourced; Siegel vor Launch re-checken
8591113042282,"Pánský šampon s pivem, kofeinem a bylinami",Manufaktura,hair,CZ,no,yes,no,,leaping-bunny,,https://world.openbeautyfacts.org/product/8591113042282/pansky-šampon-s-pivem-kofeinem-a-bylinami-manufaktura,OBF-Label crowd-sourced; Siegel vor Launch re-checken; Kategorie eher nicht Gesicht
8591113042954,Tuhý eko šampon meruňka,Manufaktura,hair,CZ,no,yes,no,,leaping-bunny,,https://world.openbeautyfacts.org/product/8591113042954/tuhy-eko-šampon-meruňka-manufaktura,OBF-Label crowd-sourced; Siegel vor Launch re-checken; Kategorie eher nicht Gesicht
8591113042947,Tuhý šampon louka,Manufaktura,hair,CZ,no,yes,no,,leaping-bunny,,https://world.openbeautyfacts.org/product/8591113042947/tuhy-šampon-louka-manufaktura,OBF-Label crowd-sourced; Siegel vor Launch re-checken; Kategorie eher nicht Gesicht
0621732000931,Marc Anthony Repair Bond +Rescuplex,Marc Anthony,other,NL,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/0621732000931/marc-anthony-repair-bond-rescuplex,
3298651778172,Savon à l'huile d'olive sans parfum,Marius Fabre,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3298651778172/savon-a-l-huile-d-olive-sans-parfum-marius-fabre,
3515775772108,Shampooing naturel aux herbes,Martine Mahé,hair,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3515775772108/shampooing-naturel-aux-herbes-martine-mahe,Kategorie eher nicht Gesicht
3401347507264,Shampooing reflets à l'huile de camélia,Martine Mahé,hair,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3401347507264/shampooing-reflets-a-l-huile-de-camelia-martine-mahe,Kategorie eher nicht Gesicht
5719806324900,Læbebalsam,Matas,face/skincare,DK,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/5719806324900/laebebalsam-matas,
3600530512232,Pure Sun Mineral Bronze Shimmer Powder 02 Soleil Hâlé,Maybelline,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3600530512232/pure-sun-mineral-bronze-shimmer-powder-02-soleil-hale-l-oreal,
3600530625987,SuperStay 24h fond de teint stretch beige éclat,Maybelline,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3600530625987/superstay-24h-fond-de-teint-stretch-beige-eclat-l-oreal,
3182611233033,Savon de Marseille,Maître savon,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3182611233033/savon-de-marseille-maitre-savon,
3284410002008,Les Solyflores - eau de toilette Musc - Gigembre,Melvita,fragrance,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3284410002008/les-solyflores-eau-de-toilette-musc-gingembre,Kategorie eher nicht Gesicht
3284410017262,Savon extra-riche,Melvita,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3284410017262/savon-extra-riche-melvita,
3600550286854,Baume apaisant Peaux noires et métissées 2-en-1,Mennen,other,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3600550286854/baume-apaisant-peaux-noires-et-metissees-2-en-1-mennen,
3600550362534,BB Crème Solaire Teinté SPF 50+,Mixa,face/skincare,FR,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3600550362534/bb-creme-solaire-teinte-spf-50-mixa,
3600550880687,Crème riche apaisante pro-tolérance,Mixa,face/skincare,FR,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3600550880687/creme-riche-apaisante-pro-tolerance-mixa,
3600550538175,Hydratant teinté protecteur anti-imperfections Dermo Defense,Mixa,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3600550538175/hydratant-teinte-protecteur-anti-imperfections-dermo-defense-mixa,
3600550199338,Lait corps nutritif protecteur,Mixa,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3600550199338/lait-corps-nutritif-protecteur-mixa,
3600550216592,Lait Solaire Tolérance Optimale SPF50,Mixa,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3600550216592/lait-solaire-tolerance-optimale-spf-50-enfants-et-adulte-peau-sensible-mixa,
3600550164008,Soin protecteur regénérant Thé vert + Vigne rouge régénérante,Mixa,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3600550164008/soin-protecteur-regenerant-the-vert-vigne-rouge-regenerante-mixa,
3770009779012,"Tampons 100% coton biologique, hypoallergénique et biodégradable",my holy,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3770009779012/my-holy,
0782126001009,natracare,Natracare,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/0782126001009/natracare,
3770007124135,Savon de douche lait d'ânesse et huile d'amande douce,Nature & Progrès,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3770007124135/savon-de-douche-lait-d-anesse-et-huile-d-amande-douce-nature-progres,
3286010035400,Gel douche exaltant à l'extrait de mûre bio de Bretagne,Nature Moi,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3286010035400/gel-douche-exaltant-a-l-extrait-de-mure-bio-de-bretagne-nature-moi,
8414002070398,Champú anticaída Refrescante,NaturVital,hair,ES,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/8414002070398/champu-anticaida-refrescante-naturvital,Kategorie eher nicht Gesicht
3574660536522,First Touch Shampoo,Natusan,hair,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3574660536522/first-touch-shampoo-natusan,Kategorie eher nicht Gesicht
3574661350820,Procomfort,Nett,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3574661350820/procomfort-nett,
8720181537868,"Kids bath, wash & shampoo",Neutral,hair,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/8720181537868/kids-bath-wash-shampoo-neutral,Kategorie eher nicht Gesicht
1748567444460,Neutral bar soap,Neutral,other,NL,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/1748567444460/neutral-bar-soap,
4006000128689,2in1 primer daily UV serum SPF 50+,Nivea Sun,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4006000128689/2in1-primer-daily-uv-serum-spf-50-nivea-sun,
4005900601902,UV Face SPF 50 Sensitive,Nivea Sun,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4005900601902/uv-face-spf-50-sensitive-nivea-sun,
3760214630208,L'Expert,Omum,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760214630208/l-expert-omum,
3760214630161,L'Intime,Omum,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760214630161/l-intime-omum,
30096189,La Confidente,Omum,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/30096189/la-confidente-omum,
3760214630017,La Surdouée,Omum,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760214630017/la-surdouee-omum,
3760214630024,Le Bienfaiteur,Omum,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760214630024/le-bienfaiteur-omum,
3760214630031,Le Cajoleur,Omum,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760214630031/le-cajoleur-omum,
3760214630178,Le Coach fermeté,Omum,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760214630178/le-coach-fermete-omum,
3760214630260,Le Délicat,Omum,other-non-face,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760214630260/le-delicat-omum,Kategorie eher nicht Gesicht
3760214630185,Ma Jolie Peau,Omum,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760214630185/ma-jolie-peau-omum,
7310610011345,Idomin,Orkla,other,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7310610011345/idomin-orkla,
4015400622413,Natural clean,P&G,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4015400622413/natural-clean-p-g,
4015400621966,Sensitive,P&G,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4015400621966/sensitive-p-g,
3760257885412,Shampoing solide sweetie,Pachamamai,unspecified,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760257885412/shampoing-solide-sweetie-pachamamai,
0010181033056,Shampooing soin formule à l'huile de noix de coco,Palmer's,hair,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/0010181033056/shampooing-soin-formule-a-l-huile-de-noix-de-coco-palmer-s,Kategorie eher nicht Gesicht
3455270841216,Shampooing-douche fraicheur senteur Menthe,Phytonorm,hair,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3455270841216/shampooing-douche-fraicheur-senteur-menthe-phytonorm,Kategorie eher nicht Gesicht
3401353648470,Déodorant anti-transpiration alun minéral,Prim'soins,other-non-face,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3401353648470/deodorant-anti-transpiration-alun-mineral-prim-soins,Kategorie eher nicht Gesicht
3172350157158,La savon de Marseille,Proven-Orapi,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3172350157158/la-savon-de-marseille-proven-orapi,
3172350157141,Le savon liquide de Marseille,Proven-Orapi,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3172350157141/le-savon-liquide-de-marseille-proven-orapi,
5397297038850,Wet wipes for sensitive skin,PS.,other,CZ,no,yes,no,,leaping-bunny,,https://world.openbeautyfacts.org/product/5397297038850/wet-wipes-for-sensitive-skin-ps,OBF-Label crowd-sourced; Siegel vor Launch re-checken
3770002306062,Comme à la plage Crème bonne mine hydratante et autobronzante,Pulpe de vie,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770002306062/comme-a-la-plage-creme-bonne-mine-hydratante-et-autobronzante-pulpe-de-vie,
5057566118576,Hyaluronic Acid overnight hydrating mask,Revolution,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/5057566118576/hyaluronic-acid-overnight-hydrating-mask-revolution,
3607349796754,BB Cream matte - 001 claire,Rimmel,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3607349796754/bb-cream-matte-001-claire-rimmel,
3607343730341,BB cream radiance 9 en 1 SPF 20 - 001 claire,Rimmel,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3607343730341/bb-cream-radiance-9-en-1-spf-20-001-claire-rimmel,
3361370627073,MB dermo cold crème Saint-Gervais Mont Blanc,Rivadis,face/skincare,FR,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3361370627073/mb-dermo-cold-creme-saint-gervais-mont-blanc-rivadis,
5694520711130,Conditioner Aloe Vera,Safe Formula,hair,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/5694520711130/conditioner-aloe-vera-safe-formula,Kategorie eher nicht Gesicht
5694520711123,Shampoo Seaweed,Safe Formula,hair,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/5694520711123/shampoo-seaweed-safe-formula,Kategorie eher nicht Gesicht
5025452000601,Salt of the Earth: Effective Natural Deodorant Roll-On: Unscented,Salt of the Earth,other-non-face,SE,no,yes,no,,cfi,,https://world.openbeautyfacts.org/product/5025452000601/salt-of-the-earth-effective-natural-deodorant-roll-on-unscented,OBF-Label crowd-sourced; Siegel vor Launch re-checken; Kategorie eher nicht Gesicht
5060275540057,Instant Glow Mineral Foundation (F06 Caramel),Samina,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/5060275540057/instant-glow-mineral-foundation-f06-caramel-samina,
5701017418615,Hand soap,Sensitive For You,other,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/5701017418615/hand-soap-sensitive-for-you,
8717163711125,(ohne Namen),Seventh generation,unspecified,CZ,no,yes,no,,leaping-bunny,,https://world.openbeautyfacts.org/product/8717163711125/seventh-generation,OBF-Label crowd-sourced; Siegel vor Launch re-checken
4260556673622,Feste Dusche Limette & Zitronengras,share,other,DE,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/4260556673622/feste-dusche-limette-zitronengras-share,
3517360016970,Hydra Aloé Vera,So Bio Etic,face/skincare,FR|SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3517360016970/hydra-aloe-vera-so-bio-etic,
