ean,name,brand,katalog,age_band,slot,eu_countries,flag_fragrance_free,flag_nc,flag_cf,flag_under3_intended,fragrance_basis,nc_basis,cf_basis,under3_basis,not_for_minors,spf_note,source_url,checked_at,notes,source_file
8711218979102,Sudocrem Multi-Expert Zinkzalf,,baby_kind,baby_0_36m,creme,NL,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/8711218979102/sudocrem-multi-expert-zinkzalf,2026-09-04,,eu-baby-kind-katalog.csv
8711218979133,Sudocrem Multi-Expert Zinkzalf,,baby_kind,baby_0_36m,creme,NL,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/8711218979133/sudocrem-multi-expert-zinkzalf,2026-09-04,,eu-baby-kind-katalog.csv
5099514000212,Waterwipes Baby Wipes 60,A-Derma,baby_kind,baby_0_36m,windel,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/5099514000212/waterwipes-baby-wipes-60-a-derma,2026-09-04,,eu-baby-kind-katalog.csv
3700343045054,Liniment Apaisant,Acorelle Bébé,baby_kind,baby_0_36m,windel,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3700343045054/liniment-apaisant-acorelle-bebe,2026-09-04,,eu-baby-kind-katalog.csv
3700343046082,Crème solaire bébé spf 50+,Acroelle,baby_kind,baby_0_36m,spf,FR,no,no,no,yes,,,,obf-category-or-name,no,AAP/AAD: unter 6 Monaten SPF nicht first-line,https://world.openbeautyfacts.org/product/3700343046082/creme-solaire-bebe-spf-50-acroelle,2026-09-04,"SAFETY NOTE unter 6 Mon.: Schatten/Kleidung first-line, kein SPF-First für Neonaten in App-Copy.",eu-baby-kind-katalog.csv
8711868004773,Lingettes bébé sensitive,Action,baby_kind,baby_0_36m,windel,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/8711868004773/lingettes-bebe-sensitive-action,2026-09-04,,eu-baby-kind-katalog.csv
3760075070045,Alphanova Bébé Eau Nettoyante,Alphanova,baby_kind,baby_0_36m,reiniger,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3760075070045/alphanova-bebe-eau-nettoyante,2026-09-04,,eu-baby-kind-katalog.csv
3760075070878,spray solaire haute protection 50 bebe,alphanova,baby_kind,baby_0_36m,spf,FR,no,no,no,yes,,,,obf-category-or-name,no,AAP/AAD: unter 6 Monaten SPF nicht first-line,https://world.openbeautyfacts.org/product/3760075070878/spray-solaire-haute-protection-50-bebe-alphanova,2026-09-04,"SAFETY NOTE unter 6 Mon.: Schatten/Kleidung first-line, kein SPF-First für Neonaten in App-Copy.",eu-baby-kind-katalog.csv
3760075070694,Bio-Liniment,Alphanova Bébé,baby_kind,baby_0_36m,windel,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3760075070694/bio-liniment-alphanova-bebe,2026-09-04,,eu-baby-kind-katalog.csv
3760075070014,Lait solaire,Alphanova bébé,baby_kind,baby_0_36m,spf,FR,no,no,no,yes,,,,obf-category-or-name,no,AAP/AAD: unter 6 Monaten SPF nicht first-line,https://world.openbeautyfacts.org/product/3760075070014/lait-solaire-alphanova-bebe,2026-09-04,"SAFETY NOTE unter 6 Mon.: Schatten/Kleidung first-line, kein SPF-First für Neonaten in App-Copy.",eu-baby-kind-katalog.csv
